id,code,name,url,structId,structId_name,nb_struct,nb_struct_incoming,noise
70,sorbonne-universite,Sorbonne Université,https://hal.sorbonne-universite.fr,413221.0,,392,18,0.04591836734693878
3681,univ-fcomte,UFC - Université de Franche-Comté,https://hal-univ-fcomte.archives-ouvertes.fr,458810.0,,204,79,0.3872549019607843
12,ujm,UJM - Université Jean Monnet,https://hal-ujm.archives-ouvertes.fr,300284.0,,165,62,0.37575757575757573
3776,usj,USJ - Université Saint-Joseph de Beyrouth,https://hal-usj.archives-ouvertes.fr,301405.0,,97,59,0.6082474226804123
3680,univ-bsud,Université Bretagne Sud,https://hal-univ-ubs.archives-ouvertes.fr,172265.0,,80,29,0.3625
105,clermont-univ,Université Clermont Auvergne,https://hal.uca.fr,1063463.0,,63,0,0.0
31,univ-cotedazur,Université Cote d'Azur,https://hal.univ-cotedazur.fr,1039632.0,,112,2,0.017857142857142856
4793,univ-evry,Université Evry Val d’Essonne,https://hal-univ-evry.archives-ouvertes.fr,300306.0,,104,28,0.2692307692307692
103,univ-tours,Université Francois Rabelais - Tours,https://hal-univ-tours.archives-ouvertes.fr,300298.0,,164,64,0.3902439024390244
100,saga,Université Grenoble Alpes,https://hal.univ-grenoble-alpes.fr,1042703.0,,137,1,0.0072992700729927005
43,univ-lyon3,Université Jean Moulin Lyon 3,https://hal-univ-lyon3.archives-ouvertes.fr,118744.0,,56,0,0.0
97,univ-lille3,Université Lille 3 - Sciences Humaines et Sociales,https://hal.univ-lille3.fr,301700.0,,32,2,0.0625
4025,univ-paris-dauphine,Université Paris Dauphine - Paris IX,https://hal-univ-paris-dauphine.archives-ouvertes.fr,300302.0,,55,35,0.6363636363636364
32,descartes,Université Paris Descartes,https://hal-descartes.archives-ouvertes.fr,301664.0,,704,411,0.5838068181818182
45,univ-diderot,Université Paris Diderot-Paris 7,https://hal-univ-diderot.archives-ouvertes.fr,300301.0,,869,476,0.5477560414269275
5512,univ-paris-lumieres,Université Paris Lumières,https://hal-univ-paris-lumieres.archives-ouvertes.fr,475360.0,,1,0,0.0
8199,psl,"Université Paris, Sciences & Lettres - PSL",https://hal-psl.archives-ouvertes.fr,564132.0,,37,12,0.32432432432432434
80,univ-mlv,Université Paris-Est Marne-la-Vallée,https://hal-upec-upem.archives-ouvertes.fr,301243.0,,63,28,0.4444444444444444
8393,univ-montpellier3-paul-valery,Université Paul Valéry Montpellier 3,https://hal-univ-montpellier3-paul-valery.archives-ouvertes.fr,42812.0,,84,0,0.0
6442,uphf,Université Polytechnique des Hauts-de-France,https://hal-uphf.archives-ouvertes.fr,1001263.0,,21,0,0.0
5241,univ-rennes2,Université Rennes 2,https://hal.univ-rennes2.fr,406201.0,,132,14,0.10606060606060606
61,univ-avignon,Université d'Avignon et des Pays de Vaucluse,https://hal-univ-avignon.archives-ouvertes.fr,195507.0,,70,21,0.3
38,univ-brest,Université de Bretagne Occidentale,https://hal.univ-brest.fr,300314.0,,259,114,0.44015444015444016
88,univ-corse,Université de Corse Pascal Paoli,https://hal-univ-corse.archives-ouvertes.fr,508779.0,,3,2,0.6666666666666666
5511,univ-rochelle,Université de La Rochelle,https://hal-univ-rochelle.archives-ouvertes.fr,300311.0,,51,2,0.0392156862745098
5303,udl,Université de Lyon,https://hal-udl.archives-ouvertes.fr,301088.0,,107,57,0.5327102803738317
5242,univ-lemans,Université du Maine,https://hal-univ-lemans.archives-ouvertes.fr,7566.0,,60,13,0.21666666666666667
7468,enva,École Nationale vétérinaire d'Alfort,https://hal-enva.archives-ouvertes.fr,34256.0,,104,76,0.7307692307692307
7706,mines-ales,École des Mines d'Alès,https://hal.mines-ales.fr,6279.0,,13,1,0.07692307692307693
102,emn,École des Mines de Nantes,https://hal-mines-nantes.archives-ouvertes.fr,84538.0,,16,6,0.375
18,emse,École des Mines de Saint-Étienne,https://hal-emse.ccsd.cnrs.fr,359750.0,,14,9,0.6428571428571429
